date,room_id,hour_of_day,is_class_in_session,lighting_watt,projector_watt,plug_load_watt,total_watt,is_anomaly,wasted_cost_tl,is_holiday,is_weekend
2023-11-01,M1_Derslik_01,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,3,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,8,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,9,1,384.3,243.8,2223.9,2852.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,10,1,388.5,245.7,4228.5,4862.7,0,0.0,0,0
2023-11-01,M1_Derslik_01,11,1,394.7,254.9,1256.3,1905.9,0,0.0,0,0
2023-11-01,M1_Derslik_01,12,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,13,1,398.6,244.5,3292.4,3935.5,0,0.0,0,0
2023-11-01,M1_Derslik_01,14,1,396.3,255.3,5056.0,5707.6,0,0.0,0,0
2023-11-01,M1_Derslik_01,15,1,404.2,243.2,3539.2,4186.599999999999,0,0.0,0,0
2023-11-01,M1_Derslik_01,16,1,390.2,246.3,3167.2,3803.7,0,0.0,0,0
2023-11-01,M1_Derslik_01,17,1,411.0,247.0,1721.9,2379.9,0,0.0,0,0
2023-11-01,M1_Derslik_01,18,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,22,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_01,23,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,3,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,8,1,382.3,243.0,1391.2,2016.5,0,0.0,0,0
2023-11-01,M1_Derslik_02,9,1,415.4,240.6,2801.4,3457.4,0,0.0,0,0
2023-11-01,M1_Derslik_02,10,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,11,1,385.2,241.6,5904.5,6531.3,0,0.0,0,0
2023-11-01,M1_Derslik_02,12,1,397.8,256.0,4141.7,4795.5,0,0.0,0,0
2023-11-01,M1_Derslik_02,13,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,14,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,15,1,383.1,252.4,3144.5,3780.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,16,1,390.8,242.0,1174.7,1807.5,0,0.0,0,0
2023-11-01,M1_Derslik_02,17,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,18,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,19,0,400.0,250.0,0.0,650.0,1,1.625,0,0
2023-11-01,M1_Derslik_02,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,22,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_02,23,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,3,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,8,1,387.4,240.6,1365.9,1993.9,0,0.0,0,0
2023-11-01,M1_Derslik_03,9,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,10,1,396.0,254.9,2726.0,3376.9,0,0.0,0,0
2023-11-01,M1_Derslik_03,11,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,12,1,405.4,241.7,4385.9,5033.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,13,1,391.5,252.9,1349.6,1994.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,14,1,389.4,251.6,4457.3,5098.3,0,0.0,0,0
2023-11-01,M1_Derslik_03,15,1,399.3,253.4,4178.0,4830.7,0,0.0,0,0
2023-11-01,M1_Derslik_03,16,1,402.6,247.0,4810.0,5459.6,0,0.0,0,0
2023-11-01,M1_Derslik_03,17,1,408.5,243.4,1748.8,2400.7,0,0.0,0,0
2023-11-01,M1_Derslik_03,18,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,22,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_03,23,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,3,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,8,1,393.0,242.2,5792.5,6427.7,0,0.0,0,0
2023-11-01,M1_Derslik_04,9,1,417.2,246.9,5465.6,6129.700000000001,0,0.0,0,0
2023-11-01,M1_Derslik_04,10,1,418.2,241.5,4454.6,5114.3,0,0.0,0,0
2023-11-01,M1_Derslik_04,11,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,12,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,13,1,408.9,245.5,5820.1,6474.5,0,0.0,0,0
2023-11-01,M1_Derslik_04,14,1,402.4,258.6,2471.1,3132.1,0,0.0,0,0
2023-11-01,M1_Derslik_04,15,1,410.0,240.8,3959.1,4609.9,0,0.0,0,0
2023-11-01,M1_Derslik_04,16,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,17,1,402.4,259.4,5173.2,5835.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,18,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,20,0,400.0,250.0,0.0,650.0,1,1.625,0,0
2023-11-01,M1_Derslik_04,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,22,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_04,23,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,3,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,8,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,9,1,384.0,255.4,3868.5,4507.9,0,0.0,0,0
2023-11-01,M1_Derslik_05,10,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,11,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,12,1,381.9,244.9,5065.4,5692.2,0,0.0,0,0
2023-11-01,M1_Derslik_05,13,1,403.5,253.6,2484.9,3142.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,14,1,398.6,256.0,2734.9,3389.5,0,0.0,0,0
2023-11-01,M1_Derslik_05,15,1,399.5,244.5,5806.6,6450.6,0,0.0,0,0
2023-11-01,M1_Derslik_05,16,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2023-11-01,M1_Derslik_05,17,1,403.6,248.3,5664.4,6316.299999999999,0,0.0,0,0
2023-11-01,M1_Derslik_05,18,0,0.0,0.0,0.0,0.0,0,0.0,0,0
